PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
CPDQT-30	RXNQT-4175	PWYQT-4450	left	9-(methylsulfanyl)-2-oxononanoate	C17228	44237169	188603
CPDQT-30	RXN-18203	PWYQT-4450	right	9-(methylsulfanyl)-2-oxononanoate	C17228	44237169	188603
CPDQT-29	RXNQT-4172	PWYQT-4450	left	8-(methylsulfanyl)-2-oxooctanoate	C17224	44237313	80971
CPDQT-29	RXNQT-4347	PWYQT-4450	left	8-(methylsulfanyl)-2-oxooctanoate	C17224	44237313	80971
CPDQT-29	RXN-18205	PWYQT-4450	right	8-(methylsulfanyl)-2-oxooctanoate	C17224	44237313	80971
CPDQT-28	RXN-18207	PWYQT-4450	right	7-(methylsulfanyl)-2-oxoheptanoate	C17220	44237184	80968
CPDQT-28	RXNQT-4346	PWYQT-4450	left	7-(methylsulfanyl)-2-oxoheptanoate	C17220	44237184	80968
CPDQT-28	RXNQT-4169	PWYQT-4450	left	7-(methylsulfanyl)-2-oxoheptanoate	C17220	44237184	80968
CPDQT-27	RXNQT-4166	PWYQT-4450	left	6-(methylsulfanyl)-2-oxohexanoate	C17216	44237195	80965
CPDQT-27	RXN-18209	PWYQT-4450	right	6-(methylsulfanyl)-2-oxohexanoate	C17216	44237195	80965
CPDQT-27	RXNQT-4345	PWYQT-4450	left	6-(methylsulfanyl)-2-oxohexanoate	C17216	44237195	80965
CPDQT-340	RXNQT-4345	PWYQT-4450	right	L-dihomomethionine	C17217	90658959	134632
CPDQT-340	RXNQT-4309	PWYQT-4471	left	L-dihomomethionine	C17217	90658959	134632
CPDQT-41	RXN-18201	PWYQT-4450	right	10-(methylsulfanyl)-2-oxodecanoate	C17232	44237295	80977
CPDQT-41	RXNQT-4349	PWYQT-4450	left	10-(methylsulfanyl)-2-oxodecanoate	C17232	44237295	80977
CPD-19487	RXN-18200	PWYQT-4450	right	3-carboxy-10-(methylsulfanyl)-2-oxodecanoate		123131585	
CPD-19487	RXN-18201	PWYQT-4450	left	3-carboxy-10-(methylsulfanyl)-2-oxodecanoate		123131585	
CPDQT-40	RXN-18193	PWYQT-4450	right	3-[(7'-methylsulfanyl)heptyl]malate	C17231	44237172	80976
CPDQT-40	RXN-18200	PWYQT-4450	left	3-[(7'-methylsulfanyl)heptyl]malate	C17231	44237172	80976
CPD-19488	RXN-18202	PWYQT-4450	right	3-carboxy-9-(methylsulfanyl)-2-oxononanoate		123131572	
CPD-19488	RXN-18203	PWYQT-4450	left	3-carboxy-9-(methylsulfanyl)-2-oxononanoate		123131572	
CPDQT-39	RXN-18191	PWYQT-4450	right	3-[(6'-methylsulfanyl)hexyl]malate	C17227	44237339	80973
CPDQT-39	RXN-18202	PWYQT-4450	left	3-[(6'-methylsulfanyl)hexyl]malate	C17227	44237339	80973
CPD-19489	RXN-18204	PWYQT-4450	right	3-carboxy-8-(methylsulfanyl)-2-oxooctanoate		123131579	
CPD-19489	RXN-18205	PWYQT-4450	left	3-carboxy-8-(methylsulfanyl)-2-oxooctanoate		123131579	
CPDQT-38	RXN-18204	PWYQT-4450	left	3-[(5'-methylsulfanyl)pentyl]malate	C17223	44237178	80970
CPDQT-38	RXN-18189	PWYQT-4450	right	3-[(5'-methylsulfanyl)pentyl]malate	C17223	44237178	80970
CPD-19490	RXN-18206	PWYQT-4450	right	3-carboxy-7-(methylsulfanyl)-2-oxoheptanoate		123131518	
CPD-19490	RXN-18207	PWYQT-4450	left	3-carboxy-7-(methylsulfanyl)-2-oxoheptanoate		123131518	
CPDQT-37	RXN-18206	PWYQT-4450	left	3-[(4'-methylsulfanyl)butyl]malate	C17219	44237164	80967
CPDQT-37	RXN-18187	PWYQT-4450	right	3-[(4'-methylsulfanyl)butyl]malate	C17219	44237164	80967
CPD-19491	RXN-18208	PWYQT-4450	right	3-carboxy-6-(methylsulfanyl)-2-oxohexanoate		123131563	
CPD-19491	RXN-18209	PWYQT-4450	left	3-carboxy-6-(methylsulfanyl)-2-oxohexanoate		123131563	
CPDQT-36	RXN-18185	PWYQT-4450	right	3-[(3'-methylsulfanyl)propyl]malate	C17215	44237292	133501
CPDQT-36	RXN-18208	PWYQT-4450	left	3-[(3'-methylsulfanyl)propyl]malate	C17215	44237292	133501
CPD-19481	RXN-18192	PWYQT-4450	right	2-[(2'-methylsulfanyl)heptyl]maleate		123131590	
CPD-19481	RXN-18193	PWYQT-4450	left	2-[(2'-methylsulfanyl)heptyl]maleate		123131590	
CPDQT-35	RXNQT-4175	PWYQT-4450	right	2-[(7'-methylsulfanyl)heptyl]malate	C17230	44237389	80975
CPDQT-35	RXN-18192	PWYQT-4450	left	2-[(7'-methylsulfanyl)heptyl]malate	C17230	44237389	80975
CPD-19480	RXN-18190	PWYQT-4450	right	2-[(2'-methylsulfanyl)hexyl]maleate		123131527	
CPD-19480	RXN-18191	PWYQT-4450	left	2-[(2'-methylsulfanyl)hexyl]maleate		123131527	
CPDQT-34	RXN-18190	PWYQT-4450	left	2-[(6'-methylsulfanyl)hexyl]malate	C17226	44237240	80972
CPDQT-34	RXNQT-4172	PWYQT-4450	right	2-[(6'-methylsulfanyl)hexyl]malate	C17226	44237240	80972
CPD-19479	RXN-18189	PWYQT-4450	left	2-[(2'-methylsulfanyl)pentyl]maleate		123131513	
CPD-19479	RXN-18188	PWYQT-4450	right	2-[(2'-methylsulfanyl)pentyl]maleate		123131513	
CPDQT-33	RXN-18188	PWYQT-4450	left	2-[(5'-methylsulfanyl)pentyl]malate	C17222	44237333	80969
CPDQT-33	RXNQT-4169	PWYQT-4450	right	2-[(5'-methylsulfanyl)pentyl]malate	C17222	44237333	80969
CPD-19478	RXN-18187	PWYQT-4450	left	2-[(2'-methylsulfanyl)butyl]maleate		123131552	
CPD-19478	RXN-18186	PWYQT-4450	right	2-[(2'-methylsulfanyl)butyl]maleate		123131552	
CPDQT-32	RXN-18186	PWYQT-4450	left	2-[(4'-methylsulfanyl)butyl]malate	C17218	44237181	80966
CPDQT-32	RXNQT-4166	PWYQT-4450	right	2-[(4'-methylsulfanyl)butyl]malate	C17218	44237181	80966
CPD-19477	RXN-18184	PWYQT-4450	right	2-[(2'-methylsulfanyl)propyl]maleate		122164865	133500
CPD-19477	RXN-18185	PWYQT-4450	left	2-[(2'-methylsulfanyl)propyl]maleate		122164865	133500
CPDQT-31	RXN-18184	PWYQT-4450	left	2-[(3'-methylsulfanyl)propyl]malate	C17214	44237319	58817
CPDQT-31	RXNQT-4163	PWYQT-4450	right	2-[(3'-methylsulfanyl)propyl]malate	C17214	44237319	58817
2-OXO-5-METHYLTHIOPENTANOIC-ACID	RXN-2205	PWY-1186	left	5-(methylsulfanyl)-2-oxopentanoate	C17211	25203687	58815
2-OXO-5-METHYLTHIOPENTANOIC-ACID	RXNQT-4163	PWYQT-4450	left	5-(methylsulfanyl)-2-oxopentanoate	C17211	25203687	58815
2-OXO-5-METHYLTHIOPENTANOIC-ACID	RXN-18198	PWY-1186	right	5-(methylsulfanyl)-2-oxopentanoate	C17211	25203687	58815
CPD-12159	RXN-11201	PWY-6424	left	26,27-dehydrozymosterol		91820155	136770
CPD-12159	RXN-11203	PWY-6424	left	26,27-dehydrozymosterol		91820155	136770
CPD-12159	RXN-11202	PWY-6424	left	26,27-dehydrozymosterol		91820155	136770
CPD-12162	RXN-11203	PWY-6424	right	26-hydroxy-27-methyl-zymosterol		91820109	
METHYL-GROUP	RXN-11203	PWY-6424	right	a methyl group			
METHYL-GROUP	RXN-11202	PWY-6424	right	a methyl group			
CPD-12161	RXN-11202	PWY-6424	right	24-alkyl sterol 2		46173432	
CPD-12160	RXN-11201	PWY-6424	right	24-alkyl sterol 1		46173091	
Light	RXN-15479	PWY-101	right	h&nu;	C00205		30212
Light	RXN-5285	CHLOROPHYLL-SYN	right	h&nu;	C00205		30212
Light	PSII-RXN	PWY-101	right	h&nu;	C00205		30212
DIVINYL-PROTOCHLOROPHYLLIDE-A	RXN-5284	CHLOROPHYLL-SYN	right	3,8-divinyl protochlorophyllide a	C11831	122706273	58632
DIVINYL-PROTOCHLOROPHYLLIDE-A	RXN-5285	CHLOROPHYLL-SYN	right	3,8-divinyl protochlorophyllide a	C11831	122706273	58632
13-HYDROXY-MAGNESIUM-PROTOPORP	RXN-5283	CHLOROPHYLL-SYN	left	13 1 -hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester	C11829	44229246	60489
13-HYDROXY-MAGNESIUM-PROTOPORP	RXN-5282	CHLOROPHYLL-SYN	right	13 1 -hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester	C11829	44229246	60489
MG-PROTOPORPHYRIN-MONOMETHYL-ESTER	RXN-5282	CHLOROPHYLL-SYN	left	magnesium-protoporphyrin IX 13-monomethyl ester	C04536	44229200	60491
MG-PROTOPORPHYRIN-MONOMETHYL-ESTER	RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN	CHLOROPHYLL-SYN	right	magnesium-protoporphyrin IX 13-monomethyl ester	C04536	44229200	60491
